titles,rooms,areas,floors,renovations,materials,prices,addresses,lifts,securities,internets,playgrounds,sewerages,bathrooms,video_monitor,parking_spaces,air_conditions,furnitures
1-комнатная квартира на продажу,1,30 м²,1/4,Евроремонт,Кирпичный,49 000 у.е.,"город Ташкент, Чиланзарский район, махаллинский сход граждан Катартал",no lift,No security,Интернет,Детская площадка,Канализация,Санузел раздельный,No video_monitor,Парковочное место,Кондиционер,Мебель
2-комнатная квартира на продажу,2,50 м²,2/4,Средний,Панельный,58 350 у.е.,"город Ташкент, Чиланзарский район, махаллинский сход граждан Кичик Хирмантепа",no lift,No security,Интернет,Детская площадка,Канализация,Санузел раздельный,No video_monitor,Парковочное место,Кондиционер,Мебель
1-комнатная квартира на продажу,1,33.23 м²,2/3,Средний,Кирпичный,36 000 у.е.,"город Ташкент, Яшнободский район, махаллинский сход граждан Ахмад Яссавий, улица Алимкент",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
1-комнатная квартира на продажу,1,26 м²,1/4,Авторский проект,Кирпичный,46 000 у.е.,"город Ташкент, Чиланзарский район, 2-й квартал",no lift,No security,Интернет,Детская площадка,Канализация,No bathroom,No video_monitor,No parking_space,Кондиционер,Мебель
2-комнатная квартира на продажу,2,53 м²,2/4,Средний,Панельный,63 750 у.е.,"город Ташкент, Чиланзарский район, махаллинский сход граждан Кутарма",no lift,No security,Интернет,Детская площадка,Канализация,Санузел раздельный,No video_monitor,Парковочное место,Кондиционер,Мебель
2-комнатная квартира на продажу,2,50 м²,2/4,Средний,Панельный,63 999 у.е.,"город Ташкент, Учтепинский район, махаллинский сход граждан Кургантепа",no lift,No security,Интернет,Детская площадка,Канализация,Санузел раздельный,No video_monitor,Парковочное место,Кондиционер,Мебель
2-комнатная квартира на продажу,2,50 м²,4/4,Евроремонт,Панельный,67 999 у.е.,"город Ташкент, Чиланзарский район, 2-й квартал",no lift,No security,Интернет,Детская площадка,Канализация,Санузел раздельный,No video_monitor,Парковочное место,Кондиционер,Мебель
2-комнатная квартира на продажу,2,50 м²,2/4,Средний,Панельный,64 555 у.е.,"город Ташкент, Чиланзарский район, махаллинский сход граждан Дилабад",no lift,No security,Интернет,Детская площадка,Канализация,Санузел раздельный,No video_monitor,Парковочное место,Кондиционер,No furniture
1-комнатная квартира на продажу,1,42 м²,9/12,Черновая отделка,Блочный,42 000 у.е.,"город Ташкент, Яшнободский район, махаллинский сход граждан Олмос, 1-й тупик Бахт Кули",Лифт,Охрана,No internet,Детская площадка,Канализация,No bathroom,Видеонаблюдение,No parking_space,No air_condition,No furniture
1-комнатная квартира на продажу,1,30 м²,4/4,Средний,Кирпичный,43 555 у.е.,"город Ташкент, Чиланзарский район, 5-й квартал",no lift,No security,Интернет,Детская площадка,Канализация,Санузел раздельный,No video_monitor,Парковочное место,Кондиционер,Мебель
1-комнатная квартира на продажу,1,43 м²,6/9,Средний,Монолитный,44 500 у.е.,"город Ташкент, Сергелийский район, махаллинский сход граждан Хабибий",1,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
3-комнатная квартира на продажу,3,49 м²,2/4,Евроремонт,Кирпичный,41 900 у.е.,"город Ташкент, Мирабадский район, махаллинский сход граждан Абдурауф Фитрат, улица Таллимаржон",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
1-комнатная квартира на продажу,1,28 м²,4/4,Авторский проект,Кирпичный,42 500 у.е.,"город Ташкент, Чиланзарский район, 5-й квартал",no lift,No security,No internet,Детская площадка,Канализация,No bathroom,No video_monitor,No parking_space,Кондиционер,Мебель
1-комнатная квартира на продажу,1,28 м²,3/4,Евроремонт,Кирпичный,33 000 у.е.,"город Ташкент, Мирзо-Улугбекский район, махаллинский сход граждан Шалола, 2-й проезд Хирот",no lift,No security,Интернет,Детская площадка,Канализация,No bathroom,No video_monitor,Парковочное место,No air_condition,Мебель
4-комнатная квартира на продажу,4,95 м²,5/9,Евроремонт,Панельный,80 000 у.е.,"город Ташкент, Сергелийский район, махаллинский сход граждан Эзгулик",Лифт,No security,Интернет,Детская площадка,Канализация,Санузел раздельный,No video_monitor,Парковочное место,Кондиционер,Мебель
2-комнатная квартира на продажу,2,46.67 м²,1/3,Средний,Кирпичный,46 000 у.е.,"город Ташкент, Яшнободский район, махаллинский сход граждан Ахмад Яссавий, улица Алимкент",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
6+ комнатная квартира на продажу,6+,135 м²,2/9,Евроремонт,Монолитный,185 000 у.е.,"город Ташкент, Чиланзарский район, массив Алгоритм-Г35",1,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
4-комнатная квартира на продажу,4,90 м²,2/5,Евроремонт,Панельный,155 000 у.е.,"город Ташкент, Мирабадский район, махаллинский сход граждан Фуркат, улица Янгизамон",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
2-комнатная квартира на продажу,2,60 м²,9/9,Средний,Монолитный,56 000 у.е.,"город Ташкент, Мирзо-Улугбекский район, махаллинский сход граждан Уйгониш",Лифт,No security,Интернет,Детская площадка,Канализация,Санузел раздельный,Видеонаблюдение,Парковочное место,Кондиционер,Мебель
1-комнатная квартира на продажу,1,52 м²,9/9,Требует ремонта,Монолитный,58 000 у.е.,"город Ташкент, Мирабадский район, махаллинский сход граждан Мирабад, улица Нукус",1,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
5-комнатная квартира на продажу,5,205 м²,9/10,Евроремонт,Кирпичный,155 000 у.е.,"Ташкентская область, городской посёлок Далигузар, улица Нугманова",1,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
1-комнатная квартира на продажу,1,33.23 м²,2/3,Средний,Кирпичный,36 000 у.е.,"город Ташкент, Яшнободский район, махаллинский сход граждан Ахмад Яссавий, улица Алимкент",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
2-комнатная квартира на продажу,2,65 м²,2/9,Средний,Монолитный,62 000 у.е.,"город Ташкент, Алмазарский район, квартал 1/4",1,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
4-комнатная квартира на продажу,4,90 м²,7/9,Средний,Монолитный,80 000 у.е.,"город Ташкент, Яшнободский район, махаллинский сход граждан Тонг",1,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
4-комнатная квартира на продажу,4,120 м²,1/7,Средний,Кирпичный,162 000 у.е.,"город Ташкент, Алмазарский район, махаллинский сход граждан Чустий, улица Беруни",1,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
2-комнатная квартира на продажу,2,65.4 м²,2/4,Средний,Кирпичный,63 000 у.е.,"город Ташкент, Яшнободский район, махаллинский сход граждан Мумтоз, улица Мумтоз",no lift,No security,No internet,Детская площадка,No sewerage,Санузел раздельный,No video_monitor,No parking_space,Кондиционер,Мебель
2-комнатная квартира на продажу,2,52 м²,2/2,Средний,Кирпичный,52 000 у.е.,"город Ташкент, Бектемирский район, махаллинский сход граждан Рахат",no lift,No security,No internet,No playground,Канализация,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
3-комнатная квартира на продажу,3,51 м²,3/3,Авторский проект,Кирпичный,89 999 у.е.,"город Ташкент, Яшнободский район, махаллинский сход граждан Байкурган, улица Насаф",no lift,No security,Интернет,Детская площадка,Канализация,No bathroom,No video_monitor,Парковочное место,Кондиционер,Мебель
3-комнатная квартира на продажу,3,72 м²,2/4,Авторский проект,Кирпичный,137 000 у.е.,"город Ташкент, Юнусабадский район, массив Киёт",no lift,No security,Интернет,No playground,Канализация,No bathroom,No video_monitor,No parking_space,Кондиционер,Мебель
1-комнатная квартира на продажу,1,38 м²,1/4,Евроремонт,Панельный,54 500 у.е.,"город Ташкент, Юнусабадский район, махаллинский сход граждан Богиэрам",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
3-комнатная квартира на продажу,3,75 м²,5/9,Авторский проект,Панельный,85 000 у.е.,"город Ташкент, Мирзо-Улугбекский район, махаллинский сход граждан Турон, улица Паркент",1,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
2-комнатная квартира на продажу,2,55 м²,2/4,Евроремонт,Кирпичный,97 000 у.е.,"город Ташкент, Юнусабадский район, массив Киёт",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
3-комнатная квартира на продажу,3,96 м²,4/4,Евроремонт,Кирпичный,110 000 у.е.,"город Ташкент, Шайхантахурский район, махаллинский сход граждан Шайхонтохур",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
2-комнатная квартира на продажу,2,60.08 м²,2/9,Требует ремонта,Панельный,61 000 у.е.,"город Ташкент, Яшнободский район, махаллинский сход граждан Истиклол",1,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
2-комнатная квартира на продажу,2,45 м²,3/4,Авторский проект,Панельный,58 500 у.е.,"город Ташкент, Чиланзарский район, махаллинский сход граждан Ак-Тепа",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
2-комнатная квартира на продажу,2,60 м²,7/9,Евроремонт,Монолитный,55 000 у.е.,"город Ташкент, Сергелийский район, махаллинский сход граждан Узгариш",Лифт,No security,Интернет,Детская площадка,Канализация,Санузел раздельный,No video_monitor,No parking_space,Кондиционер,Мебель
3-комнатная квартира на продажу,3,86 м²,5/5,Средний,Кирпичный,99 000 у.е.,"город Ташкент, Яккасарайский район, махаллинский сход граждан Конституция, улица Шота Руставели",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
2-комнатная квартира на продажу,2,65 м²,3/4,Требует ремонта,Кирпичный,103 000 у.е.,"город Ташкент, Мирзо-Улугбекский район, махаллинский сход граждан Нур",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
1-комнатная квартира на продажу,1,28 м²,4/4,Евроремонт,Кирпичный,43 000 у.е.,"город Ташкент, Чиланзарский район, 5-й квартал",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
1-комнатная квартира на продажу,1,42 м²,9/12,Черновая отделка,Блочный,42 000 у.е.,"город Ташкент, Яшнободский район, махаллинский сход граждан Олмос, 1-й тупик Бахт Кули",Лифт,Охрана,No internet,Детская площадка,Канализация,No bathroom,Видеонаблюдение,No parking_space,No air_condition,No furniture
1-комнатная квартира на продажу,1,42 м²,9/12,Черновая отделка,Блочный,42 000 у.е.,"город Ташкент, Яшнободский район, махаллинский сход граждан Олмос, 1-й тупик Бахт Кули",Лифт,Охрана,No internet,Детская площадка,Канализация,No bathroom,Видеонаблюдение,No parking_space,No air_condition,No furniture
2-комнатная квартира на продажу,2,50 м²,2/4,Евроремонт,Кирпичный,87 400 у.е.,"город Ташкент, Чиланзарский район, 1-й квартал, улица Лабихавуз",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
2-комнатная квартира на продажу,2,45 м²,1/4,Авторский проект,Панельный,76 500 у.е.,"город Ташкент, Чиланзарский район, махаллинский сход граждан Ак-Тепа",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
1-комнатная квартира на продажу,1,42 м²,3/4,Средний,Панельный,55 000 у.е.,"город Ташкент, Юнусабадский район, махаллинский сход граждан Юнус Ата",no lift,No security,Интернет,No playground,Канализация,No bathroom,No video_monitor,No parking_space,Кондиционер,Мебель
1-комнатная квартира на продажу,1,28 м²,4/4,Средний,Кирпичный,43 000 у.е.,"город Ташкент, Чиланзарский район, 5-й квартал",no lift,No security,No internet,Детская площадка,Канализация,No bathroom,No video_monitor,No parking_space,Кондиционер,Мебель
4-комнатная квартира на продажу,4,100 м²,4/9,Евроремонт,Панельный,157 000 у.е.,"город Ташкент, Мирзо-Улугбекский район, махаллинский сход граждан Темурийлар, улица Амир Темур",1,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
1-комнатная квартира на продажу,1,33.23 м²,2/3,Средний,Кирпичный,36 000 у.е.,"город Ташкент, Яшнободский район, махаллинский сход граждан Ахмад Яссавий, улица Алимкент",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
3-комнатная квартира на продажу,3,67 м²,4/5,Средний,Кирпичный,75 000 у.е.,"город Ташкент, Учтепинский район, квартал Г9А",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
2-комнатная квартира на продажу,2,60 м²,3/4,Евроремонт,Кирпичный,65 000 у.е.,"город Ташкент, Яшнободский район, махаллинский сход граждан Маърифат, улица Эльбека",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
2-комнатная квартира на продажу,2,46 м²,5/5,Средний,Панельный,72 000 у.е.,"город Ташкент, Мирзо-Улугбекский район, махаллинский сход граждан Алпомиш, улица Мирзо Улугбека",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
3-комнатная квартира на продажу,3,84 м²,3/4,Средний,Кирпичный,105 000 у.е.,"город Ташкент, Шайхантахурский район, массив Ц-12",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
1-комнатная квартира на продажу,1,38 м²,3/4,Средний,Панельный,54 000 у.е.,"город Ташкент, Юнусабадский район, махаллинский сход граждан Хусниабад",no lift,Охрана,Интернет,Детская площадка,Канализация,Санузел раздельный,Видеонаблюдение,Парковочное место,Кондиционер,Мебель
2-комнатная квартира на продажу,2,46.67 м²,1/3,Средний,Кирпичный,46 000 у.е.,"город Ташкент, Яшнободский район, махаллинский сход граждан Ахмад Яссавий, улица Алимкент",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
1-комнатная квартира на продажу,1,42 м²,5/5,Евроремонт,Кирпичный,43 000 у.е.,"город Ташкент, Учтепинский район, махаллинский сход граждан Нурабад, улица Маданият",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
2-комнатная квартира на продажу,2,45 м²,2/4,Евроремонт,Панельный,74 000 у.е.,"город Ташкент, Чиланзарский район, 2-й квартал",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
2-комнатная квартира на продажу,2,47 м²,2/4,Евроремонт,Панельный,66 500 у.е.,"город Ташкент, Чиланзарский район, махаллинский сход граждан Нафосат",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
3-комнатная квартира на продажу,3,70 м²,4/5,Авторский проект,Кирпичный,75 000 у.е.,"город Ташкент, Чиланзарский район, 1-й квартал, улица Лабихавуз",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
1-комнатная квартира на продажу,1,30 м²,1/4,Средний,Панельный,44 900 у.е.,"город Ташкент, Чиланзарский район, 2-й квартал",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
2-комнатная квартира на продажу,2,60.08 м²,2/9,Требует ремонта,Панельный,61 000 у.е.,"город Ташкент, Яшнободский район, махаллинский сход граждан Истиклол",1,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
1-комнатная квартира на продажу,1,26 м²,1/4,Евроремонт,Кирпичный,49 000 у.е.,"город Ташкент, Чиланзарский район, махаллинский сход граждан Катартал",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
2-комнатная квартира на продажу,2,45 м²,2/4,Евроремонт,Панельный,66 500 у.е.,"город Ташкент, Чиланзарский район, махаллинский сход граждан Нафосат",no lift,No security,Интернет,Детская площадка,Канализация,Санузел раздельный,Видеонаблюдение,Парковочное место,Кондиционер,No furniture
3-комнатная квартира на продажу,3,68 м²,3/4,Требует ремонта,Панельный,65 500 у.е.,"город Ташкент, Юнусабадский район, махаллинский сход граждан Ахмад Дониш",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
2-комнатная квартира на продажу,2,58 м²,2/4,Средний,Панельный,58 000 у.е.,"город Ташкент, Алмазарский район, квартал 1/4",no lift,No security,Интернет,Детская площадка,Канализация,No bathroom,No video_monitor,No parking_space,No air_condition,Мебель
2-комнатная квартира на продажу,2,48 м²,3/5,Требует ремонта,Панельный,55 000 у.е.,"город Ташкент, Учтепинский район, махаллинский сход граждан Ватанпарвар",no lift,No security,Интернет,Детская площадка,No sewerage,No bathroom,No video_monitor,No parking_space,Кондиционер,Мебель
4-комнатная квартира на продажу,4,95 м²,5/9,Евроремонт,Панельный,80 000 у.е.,"город Ташкент, Сергелийский район, махаллинский сход граждан Эзгулик",Лифт,No security,Интернет,Детская площадка,Канализация,Санузел раздельный,No video_monitor,Парковочное место,Кондиционер,Мебель
2-комнатная квартира на продажу,2,46.67 м²,1/3,Средний,Кирпичный,46 000 у.е.,"город Ташкент, Яшнободский район, махаллинский сход граждан Ахмад Яссавий, улица Алимкент",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
2-комнатная квартира на продажу,2,61 м²,2/4,Средний,Кирпичный,70 000 у.е.,"город Ташкент, Чиланзарский район, махаллинский сход граждан Нафосат",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
1-комнатная квартира на продажу,1,38 м²,1/4,Требует ремонта,Панельный,42 500 у.е.,"город Ташкент, Юнусабадский район, 7-й квартал",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
2-комнатная квартира на продажу,2,58 м²,1/5,Средний,Панельный,66 500 у.е.,"город Ташкент, Юнусабадский район, махаллинский сход граждан Богиэрам",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
2-комнатная квартира на продажу,2,56 м²,4/4,Средний,Панельный,56 000 у.е.,"город Ташкент, Юнусабадский район, махаллинский сход граждан Мингчинар",no lift,Охрана,Интернет,Детская площадка,Канализация,Санузел раздельный,Видеонаблюдение,Парковочное место,Кондиционер,Мебель
2-комнатная квартира на продажу,2,65 м²,3/4,Требует ремонта,Кирпичный,100 000 у.е.,"город Ташкент, Мирабадский район, махаллинский сход граждан Мовароуннахр, улица Саида Барака",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
4-комнатная квартира на продажу,4,95 м²,5/9,Евроремонт,Панельный,80 000 у.е.,"город Ташкент, Сергелийский район, махаллинский сход граждан Эзгулик",Лифт,No security,Интернет,Детская площадка,Канализация,Санузел раздельный,No video_monitor,Парковочное место,Кондиционер,Мебель
2-комнатная квартира на продажу,2,50 м²,2/5,Средний,Панельный,56 000 у.е.,"город Ташкент, Юнусабадский район, 17-й квартал",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
1-комнатная квартира на продажу,1,45 м²,4/5,Евроремонт,Панельный,46 500 у.е.,"город Ташкент, Юнусабадский район, махаллинский сход граждан Уч Кахрамон",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
2-комнатная квартира на продажу,2,50 м²,1/4,Требует ремонта,Панельный,56 000 у.е.,"город Ташкент, Юнусабадский район, 7-й квартал",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
1-комнатная квартира на продажу,1,27 м²,1/4,Евроремонт,Кирпичный,49 000 у.е.,"город Ташкент, Чиланзарский район, махаллинский сход граждан Катартал",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
2-комнатная квартира на продажу,2,45 м²,3/4,Евроремонт,Панельный,65 000 у.е.,"город Ташкент, Чиланзарский район, махаллинский сход граждан Ак-Тепа",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
1-комнатная квартира на продажу,1,33.23 м²,2/3,Средний,Кирпичный,36 000 у.е.,"город Ташкент, Яшнободский район, махаллинский сход граждан Ахмад Яссавий, улица Алимкент",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
3-комнатная квартира на продажу,3,59 м²,3/4,Авторский проект,Кирпичный,95 500 у.е.,"город Ташкент, Яшнободский район, махаллинский сход граждан Парвоз, Бешарыкская улица",no lift,No security,Интернет,Детская площадка,Канализация,Санузел раздельный,No video_monitor,Парковочное место,Кондиционер,Мебель
3-комнатная квартира на продажу,3,74 м²,1/4,Требует ремонта,Кирпичный,140 000 у.е.,"город Ташкент, Мирзо-Улугбекский район, махаллинский сход граждан Мустакиллик, улица Истиклол",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
Квартира со свободной планировкой на продажу,Свободная планировка,67 м²,3/8,Черновая отделка,Кирпичный,72 000 у.е.,"город Ташкент, Яшнободский район, махаллинский сход граждан Баркамол, улица Хосият",1,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
2-комнатная квартира на продажу,2,90 м²,5/13,Средний,Монолитный,105 000 у.е.,"город Ташкент, Яккасарайский район, махаллинский сход граждан Дилбулак, улица Кушбеги",Лифт,No security,Интернет,No playground,No sewerage,Санузел раздельный,No video_monitor,Парковочное место,No air_condition,No furniture
2-комнатная квартира на продажу,2,60 м²,2/5,Средний,Панельный,55 000 у.е.,"город Ташкент, Яшнободский район, махаллинский сход граждан Мохинур",no lift,No security,No internet,No playground,Канализация,Санузел раздельный,No video_monitor,No parking_space,No air_condition,No furniture
1-комнатная квартира на продажу,1,42 м²,9/12,Черновая отделка,Блочный,42 000 у.е.,"город Ташкент, Яшнободский район, махаллинский сход граждан Олмос, 1-й тупик Бахт Кули",Лифт,Охрана,No internet,Детская площадка,Канализация,No bathroom,Видеонаблюдение,No parking_space,No air_condition,No furniture
3-комнатная квартира на продажу,3,72.7 м²,7/7,Средний,Кирпичный,77 000 у.е.,"город Ташкент, Янгихаётский район, махаллинский сход граждан Янгихаёт",Лифт,No security,Интернет,Детская площадка,Канализация,Санузел раздельный,No video_monitor,No parking_space,Кондиционер,Мебель
2-комнатная квартира на продажу,2,48 м²,3/4,Евроремонт,Панельный,58 500 у.е.,"город Ташкент, Чиланзарский район, махаллинский сход граждан Ак-Тепа",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
3-комнатная квартира на продажу,3,68 м²,3/4,Средний,Панельный,63 500 у.е.,"город Ташкент, Учтепинский район, махаллинский сход граждан Кургантепа",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
3-комнатная квартира на продажу,3,95 м²,6/10,Авторский проект,Кирпичный,145 000 у.е.,"город Ташкент, Яккасарайский район, махаллинский сход граждан Яккасарай, улица Яккасарай",1,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
2-комнатная квартира на продажу,2,54 м²,4/5,Средний,Кирпичный,53 500 у.е.,"город Ташкент, Учтепинский район, 26-й квартал",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
3-комнатная квартира на продажу,3,51 м²,3/3,Авторский проект,Кирпичный,89 999 у.е.,"город Ташкент, Яшнободский район, махаллинский сход граждан Байкурган, улица Насаф",no lift,No security,Интернет,Детская площадка,Канализация,No bathroom,No video_monitor,Парковочное место,Кондиционер,Мебель
2-комнатная квартира на продажу,2,70 м²,6/9,Средний,Панельный,80 000 у.е.,"город Ташкент, Мирабадский район, махаллинский сход граждан Айбек, улица Саида Барака",Лифт,No security,Интернет,Детская площадка,Канализация,Санузел раздельный,No video_monitor,Парковочное место,Кондиционер,Мебель
2-комнатная квартира на продажу,2,54 м²,5/5,Евроремонт,Кирпичный,60 500 у.е.,"город Ташкент, Учтепинский район, 26-й квартал",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
2-комнатная квартира на продажу,2,50 м²,4/4,Средний,Панельный,52 500 у.е.,"город Ташкент, Учтепинский район, 14-й квартал",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
1-комнатная квартира на продажу,1,43 м²,6/9,Средний,Монолитный,44 500 у.е.,"город Ташкент, Сергелийский район, махаллинский сход граждан Хабибий",1,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
1-комнатная квартира на продажу,1,30 м²,3/4,Средний,Кирпичный,46 500 у.е.,"город Ташкент, Чиланзарский район, махаллинский сход граждан Казирабад, улица Чапаната",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
5-комнатная квартира на продажу,5,113 м²,1/4,Евроремонт,Панельный,150 000 у.е.,"город Ташкент, Юнусабадский район, махаллинский сход граждан Уч Кахрамон",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
4-комнатная квартира на продажу,4,95 м²,5/9,Евроремонт,Панельный,80 000 у.е.,"город Ташкент, Сергелийский район, махаллинский сход граждан Эзгулик",Лифт,No security,Интернет,Детская площадка,Канализация,Санузел раздельный,No video_monitor,Парковочное место,Кондиционер,Мебель
2-комнатная квартира на продажу,2,50.6 м²,4/5,Средний,Панельный,69 400 у.е.,"город Ташкент, Мирзо-Улугбекский район, махаллинский сход граждан Алпомиш, улица Мирзо Улугбека",no lift,No security,Интернет,Детская площадка,Канализация,No bathroom,No video_monitor,Парковочное место,Кондиционер,Мебель
4-комнатная квартира на продажу,4,83 м²,4/5,Средний,Панельный,87 000 у.е.,"город Ташкент, Юнусабадский район, махаллинский сход граждан Халкабог",no lift,No security,Интернет,Детская площадка,No sewerage,Санузел раздельный,No video_monitor,No parking_space,No air_condition,No furniture
2-комнатная квартира на продажу,2,48 м²,2/4,Евроремонт,Панельный,66 600 у.е.,"город Ташкент, Чиланзарский район, 8-й квартал",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
2-комнатная квартира на продажу,2,50 м²,4/4,Евроремонт,Панельный,56 600 у.е.,"город Ташкент, Чиланзарский район, махаллинский сход граждан Катартал",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
3-комнатная квартира на продажу,3,70 м²,2/5,Средний,Кирпичный,116 000 у.е.,"город Ташкент, Мирабадский район, махаллинский сход граждан Янги Мирабад, улица Нукус",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
2-комнатная квартира на продажу,2,46.67 м²,1/3,Средний,Кирпичный,46 000 у.е.,"город Ташкент, Яшнободский район, махаллинский сход граждан Ахмад Яссавий, улица Алимкент",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
